date,open,high,low,close,volume
1445927100000,1901.94,1903.9,1901.05,1903.56,312.335
1445927160000,1903.56,1908.87,1903.52,1908.87,797.822
1445927220000,1908.87,1911.0,1907.0,1908.85,1384.477
1445927280000,1908.85,1908.85,1904.43,1905.52,886.249
1445927340000,1905.52,1906.33,1901.41,1903.0,664.458
1445927400000,1903.0,1905.02,1902.99,1904.1,488.348
1445927460000,1904.1,1904.1,1899.0,1899.94,652.384
1445927520000,1899.92,1901.2,1899.0,1900.65,586.838
1445927580000,1900.68,1901.85,1900.5,1900.89,437.849
1445927640000,1900.89,1900.95,1899.11,1899.63,344.442
1445927700000,1899.63,1899.68,1895.64,1897.3,844.312
1445927760000,1897.3,1897.47,1893.8,1895.08,731.556
1445927820000,1895.08,1898.5,1894.0,1898.0,835.216
1445927880000,1898.0,1898.0,1895.87,1896.1,289.438
1445927940000,1896.1,1897.87,1896.0,1897.13,543.35
1445928000000,1897.26,1898.5,1897.11,1897.8,383.09
1445928060000,1897.82,1897.82,1896.0,1896.37,416.135
1445928120000,1896.35,1898.0,1896.0,1897.85,161.844
1445928180000,1897.82,1899.4,1897.53,1898.33,590.265
1445928240000,1898.34,1898.87,1896.0,1896.76,355.256
1445928300000,1896.76,1897.78,1896.0,1897.45,321.617
1445928360000,1897.45,1897.49,1896.12,1897.14,211.191
1445928420000,1897.14,1901.0,1896.73,1899.48,557.565
1445928480000,1899.51,1900.91,1899.39,1900.3,386.382
1445928540000,1900.3,1900.44,1896.18,1896.77,549.685
1445928600000,1896.75,1897.88,1896.12,1897.88,242.035
1445928660000,1897.67,1900.0,1897.66,1897.9,511.204
1445928720000,1897.89,1897.99,1896.9,1897.22,376.199
1445928780000,1897.33,1898.91,1897.22,1898.71,233.617
1445928840000,1898.71,1900.0,1898.51,1899.55,483.704
1445928900000,1899.55,1899.62,1897.22,1898.21,405.903
1445928960000,1898.18,1899.0,1897.22,1897.53,248.703
1445929020000,1897.53,1897.69,1896.7,1897.08,378.516
